car_units_sold_100s,employee_satisfaction
73.7673177,89.80405486
78.00253695,46.19779324
25.23952779,46.1970876
51.91311267,30.37336995
61.15807501,50.09800442
61.06865726,89.88958774
40.02960915,9.937974995
72.74007241,29.7038023
30.51475638,9.874701595
54.12279085,30.40874704
46.51387013,29.92007238
41.44903686,67.93423236
80.27055588,70.30976647
63.09646663,70.23322727
47.84124678,50.2937218
83.65634225,50.33631899
76.36849816,89.65848962
54.80838881,9.888085132
46.00358948,67.91713931
76.94712419,49.92470758
47.544161,89.88599936
40.02147622,10.16269544
39.20066307,67.93237015
44.88878218,49.97270053
55.31719619,90.14388139
54.98718749,49.75465834
57.53787709,69.69823904
63.66311387,30.47214126
51.11179241,46.19636745
37.84298401,9.685431498
54.7223274,30.44596779
76.17418122,89.58924967
53.91230145,10.33360696
49.91225412,90.1182588
47.65635538,67.90653462
43.65038928,89.79566329
39.31625622,89.58480773
71.6122381,90.06048551
75.01783575,69.8969671
66.83684057,69.66225864
62.580509,30.26168546
39.67911037,30.37093226
63.82677254,89.80242169
35.84363078,29.78709238
40.66199824,30.48256665
55.24761631,69.76684912
64.2107432,46.19655443
51.23812599,46.19343321
81.26288035,49.9683113
51.62586693,46.1967069
63.21454893,90.05398885
28.47727996,30.4006446
47.43797063,49.85240449
59.45713767,29.7230311
19.29546447,9.800187134
44.83149977,70.16897225
42.1811421,90.34141371
60.38403778,50.04716659
68.40051676,46.19522814
72.83557611,30.4343408
47.26656379,30.45841049
63.63737942,29.52828321
57.85488086,9.613183617
67.02415508,46.19671018
51.83976391,70.21874509
44.47788386,10.17196489
20.00870896,46.19674944
15.08715895,46.19336232
24.45183171,10.1880656
59.80886656,10.10881553
74.72565512,89.64115545
68.45384593,30.36139127
68.15784222,9.641541269
73.42887393,50.34210511
59.43891102,46.19680443
55.31783399,46.19379607
41.82991252,46.19568482
44.56036023,29.78443142
71.14848315,49.59523657
78.78277006,30.45991644
23.92905089,46.19775495
34.95342793,29.8874895
63.46911574,10.05210636
62.77648707,30.37453011
53.39155736,49.56029983
61.42753725,50.16917644
49.69772937,69.50791767
40.9610577,29.70721022
66.60749871,50.16499372
45.08979444,9.536147193
53.3101913,49.88133513
71.71833372,10.48799716
20.57748755,10.06760442
59.59860174,29.8054478
61.30422313,30.4298068
59.08420555,10.07508088
39.12171409,9.754937025
59.2691048,29.65183694
37.49272096,69.93496518
49.83137799,50.22700826
22.833719,29.87747483
44.99274772,46.19775647
64.71233143,90.38068984
35.09592821,10.44520615
68.14065552,50.12668719
77.46404075,89.85076821
38.37344603,67.90595564
61.84876408,10.10022374
60.85729513,49.80791509
63.53729143,50.02263564
49.12540307,10.14944818
70.46860097,70.07997671
72.17762426,89.88446074
45.7365671,49.65251601
68.97669419,90.19196472
41.19264361,70.29030246
54.05292885,46.24216158
54.37893317,30.28445759
47.91879958,29.81035177
38.42822184,10.36254489
55.90941998,46.19479846
32.46624777,50.20154892
48.24964517,46.19645405
36.40892992,29.85056866
46.43726752,46.19662169
88.25441772,49.84516837
46.67524561,29.87175403
33.83251447,49.60599288
53.56073598,30.30379455
56.4772279,49.56408321
71.40788777,70.12479808
64.68400083,70.31957429
64.09124199,90.08189273
27.88586565,70.22135597
48.97762051,9.887864692
56.2972788,29.67267007
62.58181194,50.0257112
49.22319595,9.717417864
40.04169601,30.3249024
70.17009889,70.2072724
73.41309661,49.74972573
48.83545464,89.99574785
57.71583499,50.03318012
49.02129699,30.31161943
58.9473755,49.66027617
62.24676697,90.26411493
99.7313398,70.48230303
49.49596339,30.41877629
45.56500697,89.55349919
41.20277533,9.98058617
51.56154105,30.36390631
27.70517259,10.27688229
52.60101933,67.91780327
16.05316943,29.90005936
58.63133867,67.92878464
47.52669426,29.5223914
32.55796489,67.93520732
62.48922929,46.19506505
38.04161945,67.92129279
50.75506143,69.91094465
43.20029113,50.17212055
49.39224721,49.56782954
65.34359365,89.60540985
46.81546443,9.715509191
82.33100041,69.83938735
66.86425434,50.00866945
21.19798116,29.64177552
67.92456298,46.19777843
53.31401482,46.18677829
83.68207783,49.95421121
57.15926406,67.92570694
57.51096428,46.19769363
48.08799245,50.41644425
73.45608965,69.84155631
44.97180573,70.03084034
65.24505588,46.19600407
52.57383278,89.822739
70.71282012,67.91377524
50.57250375,29.60412947
68.19990977,30.37269802
50.56669238,49.9690109
39.08506097,30.49642436
